ID,Total Potholes Detected,Potholes Per Frame
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,1,1
11,1,0
12,1,0
13,1,0
14,1,0
15,1,0
16,1,0
17,1,0
18,1,0
19,1,0
20,1,0
21,2,1
22,3,1
23,4,1
24,4,0
25,4,0
26,4,0
27,4,0
28,4,0
29,4,0
30,4,0
31,4,0
32,4,0
33,4,0
34,4,0
35,4,0
36,5,1
37,5,0
38,6,1
39,7,1
40,7,0
41,7,0
42,7,0
43,7,0
44,7,0
45,7,0
46,7,0
47,7,0
48,7,0
49,7,0
50,7,0
51,7,0
52,8,1
53,9,1
54,9,0
55,9,0
56,9,0
57,9,0
58,9,0
59,9,0
60,9,0
61,9,0
62,9,0
63,9,0
64,9,0
65,11,2
66,12,1
67,13,1
68,14,1
69,15,1
70,15,0
71,15,0
72,15,0
73,15,0
74,15,0
75,15,0
76,15,0
77,15,0
78,15,0
79,15,0
80,15,0
81,15,0
82,15,0
83,15,0
84,16,1
85,18,2
86,19,1
87,19,0
88,19,0
89,19,0
90,19,0
91,19,0
92,19,0
93,19,0
94,19,0
95,20,1
96,22,2
97,22,0
98,22,0
99,22,0
100,22,0
101,22,0
102,22,0
103,22,0
104,22,0
105,22,0
106,22,0
107,23,1
108,25,2
109,26,1
110,26,0
111,26,0
112,26,0
113,26,0
114,27,1
115,28,1
116,28,0
117,28,0
118,28,0
119,28,0
120,28,0
121,28,0
122,28,0
123,28,0
124,28,0
125,28,0
126,28,0
127,28,0
128,28,0
129,28,0
130,28,0
131,28,0
132,28,0
133,28,0
134,29,1
135,29,0
136,29,0
137,29,0
138,29,0
139,29,0
140,29,0
141,29,0
142,29,0
143,29,0
144,29,0
145,29,0
146,30,1
147,31,1
148,31,0
149,31,0
150,31,0
151,31,0
152,31,0
153,31,0
154,31,0
155,31,0
156,31,0
157,31,0
158,31,0
159,31,0
160,31,0
161,31,0
162,31,0
163,31,0
164,31,0
165,31,0
166,31,0
167,31,0
168,31,0
169,31,0
170,31,0
171,31,0
172,31,0
173,31,0
174,31,0
175,31,0
176,31,0
177,31,0
178,31,0
179,31,0
180,31,0
181,31,0
182,31,0
183,32,1
184,32,0
185,32,0
186,32,0
187,32,0
188,32,0
189,32,0
190,32,0
191,32,0
192,32,0
193,32,0
194,32,0
195,32,0
196,32,0
197,32,0
198,32,0
199,32,0
200,32,0
201,32,0
202,32,0
203,32,0
204,32,0
205,32,0
206,32,0
207,33,1
208,33,0
209,33,0
210,33,0
211,33,0
212,33,0
213,33,0
214,33,0
215,33,0
216,33,0
217,33,0
218,33,0
219,33,0
220,33,0
221,33,0
222,34,1
223,35,1
224,36,1
225,37,1
226,38,1
227,38,0
228,38,0
229,38,0
230,38,0
231,38,0
232,38,0
233,38,0
234,38,0
235,38,0
236,38,0
237,39,1
238,39,0
239,39,0
240,39,0
241,39,0
242,39,0
243,40,1
244,40,0
245,40,0
246,40,0
247,40,0
248,40,0
249,40,0
250,40,0
251,40,0
252,41,1
253,42,1
254,42,0
255,42,0
256,42,0
257,42,0
258,42,0
259,42,0
260,42,0
261,42,0
262,42,0
263,42,0
264,42,0
265,42,0
266,42,0
267,42,0
268,42,0
269,42,0
270,42,0
271,42,0
272,42,0
273,42,0
274,42,0
275,42,0
276,42,0
277,42,0
278,42,0
279,42,0
280,42,0
281,42,0
282,42,0
283,42,0
284,42,0
285,42,0
286,42,0
287,42,0
288,42,0
289,42,0
290,42,0
291,42,0
292,42,0
293,42,0
